,svspp,seacat,year,prey,abunpop,abunpop.sd,biompop,biompop.sd,CMT,cb,nctds,bt,bt_sd
3985,15,FALL,1981,AMMFAM,236627623.9,1692998407,248593023.8,1404846695,166.726248,0.00067068,131,10.69807168,2.55370469
3987,15,FALL,1981,CLUHAR,236627623.9,1692998407,248593023.8,1404846695,0,0,131,10.69807168,2.55370469
3990,15,FALL,1981,LOLIGO,236627623.9,1692998407,248593023.8,1404846695,0,0,131,10.69807168,2.55370469
3989,15,FALL,1981,MERBIL,236627623.9,1692998407,248593023.8,1404846695,0,0,131,10.69807168,2.55370469
3992,15,FALL,1981,OTHER,236627623.9,1692998407,248593023.8,1404846695,22374.81635,0.090005809,131,10.69807168,2.55370469
3986,15,FALL,1981,PEPTRI,236627623.9,1692998407,248593023.8,1404846695,0,0,131,10.69807168,2.55370469
3991,15,FALL,1981,SCOSCO,236627623.9,1692998407,248593023.8,1404846695,0,0,131,10.69807168,2.55370469
3995,15,FALL,1982,all,101651396.3,361060224.1,94932863.2,501483441.6,51835.43541,0.546022038,175,9.707300183,2.56170415
3996,15,FALL,1982,AMMFAM,101651396.3,361060224.1,94932863.2,501483441.6,25224.71027,0.265711045,175,9.707300183,2.56170415
3993,15,FALL,1982,CLUHAR,101651396.3,361060224.1,94932863.2,501483441.6,699.6713883,0.007370171,175,9.707300183,2.56170415
3997,15,FALL,1982,LOLIGO,101651396.3,361060224.1,94932863.2,501483441.6,392.0920415,0.004130203,175,9.707300183,2.56170415
3994,15,FALL,1982,MERBIL,101651396.3,361060224.1,94932863.2,501483441.6,4.101521932,4.32E-05,175,9.707300183,2.56170415
4000,15,FALL,1982,OTHER,101651396.3,361060224.1,94932863.2,501483441.6,25543.13548,0.26906526,175,9.707300183,2.56170415
3999,15,FALL,1982,PEPTRI,101651396.3,361060224.1,94932863.2,501483441.6,283.3669123,0.002984919,175,9.707300183,2.56170415
3998,15,FALL,1982,SCOSCO,101651396.3,361060224.1,94932863.2,501483441.6,0,0,175,9.707300183,2.56170415
4008,15,FALL,1983,all,213839784.9,1023207997,233989254.4,1329422601,191394.0039,0.817960655,235,10.25740734,2.830643423
4005,15,FALL,1983,AMMFAM,213839784.9,1023207997,233989254.4,1329422601,131946.3899,0.563899356,235,10.25740734,2.830643423
4007,15,FALL,1983,CLUHAR,213839784.9,1023207997,233989254.4,1329422601,0,0,235,10.25740734,2.830643423
4001,15,FALL,1983,LOLIGO,213839784.9,1023207997,233989254.4,1329422601,4758.822882,0.020337784,235,10.25740734,2.830643423
4003,15,FALL,1983,MERBIL,213839784.9,1023207997,233989254.4,1329422601,209.6067523,0.000895796,235,10.25740734,2.830643423
4002,15,FALL,1983,OTHER,213839784.9,1023207997,233989254.4,1329422601,53751.70135,0.229718674,235,10.25740734,2.830643423
4006,15,FALL,1983,PEPTRI,213839784.9,1023207997,233989254.4,1329422601,1032.995489,0.004414713,235,10.25740734,2.830643423
4004,15,FALL,1983,SCOSCO,213839784.9,1023207997,233989254.4,1329422601,646.2520559,0.002761888,235,10.25740734,2.830643423
4014,15,FALL,1984,all,194370839,562765599.9,187405809.7,1086019197,167827.8849,0.895531922,81,10.68692666,2.886041398
4013,15,FALL,1984,AMMFAM,194370839,562765599.9,187405809.7,1086019197,5095.738963,0.027190934,81,10.68692666,2.886041398
4011,15,FALL,1984,CLUHAR,194370839,562765599.9,187405809.7,1086019197,2528.009621,0.013489494,81,10.68692666,2.886041398
4010,15,FALL,1984,LOLIGO,194370839,562765599.9,187405809.7,1086019197,733.9841797,0.00391655,81,10.68692666,2.886041398
4015,15,FALL,1984,MERBIL,194370839,562765599.9,187405809.7,1086019197,3141.770966,0.016764533,81,10.68692666,2.886041398
4009,15,FALL,1984,OTHER,194370839,562765599.9,187405809.7,1086019197,156498.0266,0.835075641,81,10.68692666,2.886041398
4012,15,FALL,1984,PEPTRI,194370839,562765599.9,187405809.7,1086019197,0,0,81,10.68692666,2.886041398
4016,15,FALL,1984,SCOSCO,194370839,562765599.9,187405809.7,1086019197,819.8212651,0.004374578,81,10.68692666,2.886041398
4022,15,FALL,1985,all,199762125.4,834076874.3,187767983.7,775291742.3,56008.28771,0.298284546,77,10.12498155,2.882645826
4018,15,FALL,1985,AMMFAM,199762125.4,834076874.3,187767983.7,775291742.3,110.0469403,0.000586079,77,10.12498155,2.882645826
4021,15,FALL,1985,CLUHAR,199762125.4,834076874.3,187767983.7,775291742.3,2132.02487,0.011354571,77,10.12498155,2.882645826
4024,15,FALL,1985,LOLIGO,199762125.4,834076874.3,187767983.7,775291742.3,0,0,77,10.12498155,2.882645826
4020,15,FALL,1985,MERBIL,199762125.4,834076874.3,187767983.7,775291742.3,482.9709196,0.002572169,77,10.12498155,2.882645826
4019,15,FALL,1985,OTHER,199762125.4,834076874.3,187767983.7,775291742.3,53993.91993,0.287556584,77,10.12498155,2.882645826
4017,15,FALL,1985,PEPTRI,199762125.4,834076874.3,187767983.7,775291742.3,0,0,77,10.12498155,2.882645826
4023,15,FALL,1985,SCOSCO,199762125.4,834076874.3,187767983.7,775291742.3,0,0,77,10.12498155,2.882645826
4028,15,FALL,1986,all,155548766.7,408571197.3,188863849.9,720614134.5,96902.79361,0.513082804,111,9.384144209,2.288548804
4025,15,FALL,1986,AMMFAM,155548766.7,408571197.3,188863849.9,720614134.5,4153.10544,0.021989944,111,9.384144209,2.288548804
4027,15,FALL,1986,CLUHAR,155548766.7,408571197.3,188863849.9,720614134.5,695.7330069,0.003683781,111,9.384144209,2.288548804
4029,15,FALL,1986,LOLIGO,155548766.7,408571197.3,188863849.9,720614134.5,467.7340267,0.002476567,111,9.384144209,2.288548804
4030,15,FALL,1986,MERBIL,155548766.7,408571197.3,188863849.9,720614134.5,238.631649,0.001263512,111,9.384144209,2.288548804
4031,15,FALL,1986,OTHER,155548766.7,408571197.3,188863849.9,720614134.5,90945.07554,0.481537762,111,9.384144209,2.288548804
4032,15,FALL,1986,PEPTRI,155548766.7,408571197.3,188863849.9,720614134.5,0,0,111,9.384144209,2.288548804
4026,15,FALL,1986,SCOSCO,155548766.7,408571197.3,188863849.9,720614134.5,727.9717561,0.003854479,111,9.384144209,2.288548804
4034,15,FALL,1987,all,212315678.5,943956357,148110432.3,527689793.2,51484.98329,0.347612133,82,9.534406906,2.525650324
4039,15,FALL,1987,AMMFAM,212315678.5,943956357,148110432.3,527689793.2,0,0,82,9.534406906,2.525650324
4038,15,FALL,1987,CLUHAR,212315678.5,943956357,148110432.3,527689793.2,1064.796607,0.007189207,82,9.534406906,2.525650324
4037,15,FALL,1987,LOLIGO,212315678.5,943956357,148110432.3,527689793.2,1121.761034,0.007573815,82,9.534406906,2.525650324
4033,15,FALL,1987,MERBIL,212315678.5,943956357,148110432.3,527689793.2,851.3990975,0.005748407,82,9.534406906,2.525650324
4040,15,FALL,1987,OTHER,212315678.5,943956357,148110432.3,527689793.2,49026.31096,0.331011869,82,9.534406906,2.525650324
4036,15,FALL,1987,PEPTRI,212315678.5,943956357,148110432.3,527689793.2,0,0,82,9.534406906,2.525650324
4035,15,FALL,1987,SCOSCO,212315678.5,943956357,148110432.3,527689793.2,0,0,82,9.534406906,2.525650324
4041,15,FALL,1988,all,166984377.3,446394271.1,188317958.5,656585565.3,40744.94868,0.216362523,89,8.964785389,2.468724575
4046,15,FALL,1988,AMMFAM,166984377.3,446394271.1,188317958.5,656585565.3,0,0,89,8.964785389,2.468724575
4045,15,FALL,1988,CLUHAR,166984377.3,446394271.1,188317958.5,656585565.3,2601.439627,0.013814082,89,8.964785389,2.468724575
4042,15,FALL,1988,LOLIGO,166984377.3,446394271.1,188317958.5,656585565.3,3571.797979,0.018966847,89,8.964785389,2.468724575
4048,15,FALL,1988,MERBIL,166984377.3,446394271.1,188317958.5,656585565.3,919.2931373,0.004881601,89,8.964785389,2.468724575
4043,15,FALL,1988,OTHER,166984377.3,446394271.1,188317958.5,656585565.3,35233.92407,0.187098057,89,8.964785389,2.468724575
4047,15,FALL,1988,PEPTRI,166984377.3,446394271.1,188317958.5,656585565.3,0,0,89,8.964785389,2.468724575
4044,15,FALL,1988,SCOSCO,166984377.3,446394271.1,188317958.5,656585565.3,0,0,89,8.964785389,2.468724575
4052,15,FALL,1989,all,106832906.1,260451207.3,87309768.57,242269235.8,38720.91494,0.44348892,88,9.322978975,2.496795821
4056,15,FALL,1989,AMMFAM,106832906.1,260451207.3,87309768.57,242269235.8,4184.433615,0.047926294,88,9.322978975,2.496795821
4050,15,FALL,1989,CLUHAR,106832906.1,260451207.3,87309768.57,242269235.8,2153.181969,0.02466141,88,9.322978975,2.496795821
4054,15,FALL,1989,LOLIGO,106832906.1,260451207.3,87309768.57,242269235.8,3541.946237,0.040567582,88,9.322978975,2.496795821
4053,15,FALL,1989,MERBIL,106832906.1,260451207.3,87309768.57,242269235.8,8.710346325,9.98E-05,88,9.322978975,2.496795821
4049,15,FALL,1989,OTHER,106832906.1,260451207.3,87309768.57,242269235.8,29744.44838,0.34067721,88,9.322978975,2.496795821
4051,15,FALL,1989,PEPTRI,106832906.1,260451207.3,87309768.57,242269235.8,11.50284264,0.000131747,88,9.322978975,2.496795821
4055,15,FALL,1989,SCOSCO,106832906.1,260451207.3,87309768.57,242269235.8,502.808119,0.005758899,88,9.322978975,2.496795821
4061,15,FALL,1990,all,169670123.9,660590863,185170626.2,1161800516,50711.96102,0.273866121,32,7.409789199,1.277705918
4063,15,FALL,1990,AMMFAM,169670123.9,660590863,185170626.2,1161800516,1082.134335,0.005843985,32,7.409789199,1.277705918
4057,15,FALL,1990,CLUHAR,169670123.9,660590863,185170626.2,1161800516,20174.36098,0.108950115,32,7.409789199,1.277705918
4059,15,FALL,1990,LOLIGO,169670123.9,660590863,185170626.2,1161800516,0,0,32,7.409789199,1.277705918
4058,15,FALL,1990,MERBIL,169670123.9,660590863,185170626.2,1161800516,231.5728053,0.001250591,32,7.409789199,1.277705918
4062,15,FALL,1990,OTHER,169670123.9,660590863,185170626.2,1161800516,35825.68073,0.193473887,32,7.409789199,1.277705918
4064,15,FALL,1990,PEPTRI,169670123.9,660590863,185170626.2,1161800516,6.682535935,3.61E-05,32,7.409789199,1.277705918
4060,15,FALL,1990,SCOSCO,169670123.9,660590863,185170626.2,1161800516,116.3166255,0.000628159,32,7.409789199,1.277705918
4066,15,FALL,1991,all,241534891,649686558.4,342762397.8,912338034.5,105700.6814,0.308378871,239,8.548014058,2.117649745
4072,15,FALL,1991,AMMFAM,241534891,649686558.4,342762397.8,912338034.5,0,0,239,8.548014058,2.117649745
4065,15,FALL,1991,CLUHAR,241534891,649686558.4,342762397.8,912338034.5,37438.09573,0.109224629,239,8.548014058,2.117649745
4067,15,FALL,1991,LOLIGO,241534891,649686558.4,342762397.8,912338034.5,174.4565435,0.000508972,239,8.548014058,2.117649745
4068,15,FALL,1991,MERBIL,241534891,649686558.4,342762397.8,912338034.5,77.98096828,0.000227507,239,8.548014058,2.117649745
4070,15,FALL,1991,OTHER,241534891,649686558.4,342762397.8,912338034.5,80524.40469,0.234927767,239,8.548014058,2.117649745
4071,15,FALL,1991,PEPTRI,241534891,649686558.4,342762397.8,912338034.5,0,0,239,8.548014058,2.117649745
4069,15,FALL,1991,SCOSCO,241534891,649686558.4,342762397.8,912338034.5,0,0,239,8.548014058,2.117649745
4073,15,FALL,1992,all,254631407,989114132.2,344849816.3,1693485408,197535.5894,0.572816281,268,9.262719218,2.915922348
4077,15,FALL,1992,AMMFAM,254631407,989114132.2,344849816.3,1693485408,0,0,268,9.262719218,2.915922348
4079,15,FALL,1992,CLUHAR,254631407,989114132.2,344849816.3,1693485408,116506.7202,0.337847708,268,9.262719218,2.915922348
4078,15,FALL,1992,LOLIGO,254631407,989114132.2,344849816.3,1693485408,256.0383546,0.000742463,268,9.262719218,2.915922348
4074,15,FALL,1992,MERBIL,254631407,989114132.2,344849816.3,1693485408,11924.71786,0.034579453,268,9.262719218,2.915922348
4080,15,FALL,1992,OTHER,254631407,989114132.2,344849816.3,1693485408,107441.4504,0.311560121,268,9.262719218,2.915922348
4075,15,FALL,1992,PEPTRI,254631407,989114132.2,344849816.3,1693485408,237.0365145,0.000687362,268,9.262719218,2.915922348
4076,15,FALL,1992,SCOSCO,254631407,989114132.2,344849816.3,1693485408,56.40719337,0.00016357,268,9.262719218,2.915922348
4087,15,FALL,1993,all,94367471.26,348020812.5,113960894.8,568789167.7,34966.51971,0.306829108,231,8.993136087,2.889761001
4082,15,FALL,1993,AMMFAM,94367471.26,348020812.5,113960894.8,568789167.7,0,0,231,8.993136087,2.889761001
4083,15,FALL,1993,CLUHAR,94367471.26,348020812.5,113960894.8,568789167.7,18599.58099,0.163210205,231,8.993136087,2.889761001
4088,15,FALL,1993,LOLIGO,94367471.26,348020812.5,113960894.8,568789167.7,0,0,231,8.993136087,2.889761001
4086,15,FALL,1993,MERBIL,94367471.26,348020812.5,113960894.8,568789167.7,122.6639905,0.001076369,231,8.993136087,2.889761001
4085,15,FALL,1993,OTHER,94367471.26,348020812.5,113960894.8,568789167.7,22372.64292,0.196318597,231,8.993136087,2.889761001
4081,15,FALL,1993,PEPTRI,94367471.26,348020812.5,113960894.8,568789167.7,0,0,231,8.993136087,2.889761001
4084,15,FALL,1993,SCOSCO,94367471.26,348020812.5,113960894.8,568789167.7,71.49213783,0.000627339,231,8.993136087,2.889761001
4094,15,FALL,1994,all,188454660.1,467203273.1,194793000.5,547046382.5,102117.3739,0.524235335,216,10.40869125,2.104283571
4090,15,FALL,1994,AMMFAM,188454660.1,467203273.1,194793000.5,547046382.5,0,0,216,10.40869125,2.104283571
4089,15,FALL,1994,CLUHAR,188454660.1,467203273.1,194793000.5,547046382.5,28847.48857,0.148093045,216,10.40869125,2.104283571
4096,15,FALL,1994,LOLIGO,188454660.1,467203273.1,194793000.5,547046382.5,465.5218005,0.002389828,216,10.40869125,2.104283571
4092,15,FALL,1994,MERBIL,188454660.1,467203273.1,194793000.5,547046382.5,3876.800915,0.019902157,216,10.40869125,2.104283571
4095,15,FALL,1994,OTHER,188454660.1,467203273.1,194793000.5,547046382.5,78439.66074,0.402682132,216,10.40869125,2.104283571
4091,15,FALL,1994,PEPTRI,188454660.1,467203273.1,194793000.5,547046382.5,162.579297,0.000834626,216,10.40869125,2.104283571
4093,15,FALL,1994,SCOSCO,188454660.1,467203273.1,194793000.5,547046382.5,34.2564183,0.000175861,216,10.40869125,2.104283571
4102,15,FALL,1995,all,182496489.9,605076511.4,168125388.7,649006970.5,53752.87575,0.319718968,272,10.73360251,3.381367256
4099,15,FALL,1995,AMMFAM,182496489.9,605076511.4,168125388.7,649006970.5,28.53692953,0.000169736,272,10.73360251,3.381367256
4097,15,FALL,1995,CLUHAR,182496489.9,605076511.4,168125388.7,649006970.5,8598.035491,0.051140613,272,10.73360251,3.381367256
4104,15,FALL,1995,LOLIGO,182496489.9,605076511.4,168125388.7,649006970.5,64.29801874,0.000382441,272,10.73360251,3.381367256
