"","prey","svspp","seacat","year","CMT","lci.CMT","uci.CMT","mean.cb","lci.cb","uci.cb"
"579","all",15,"SPRING",2012,125844.70467389,4.23161263180641e-25,903407.516819495,0.178452183368996,4.93020404790853e-31,1.55640501889554
"580","all",15,"SPRING",2013,11603.8445850228,1.10676149278532e-33,117235.817989788,0.029084824874318,2.59576631513783e-39,0.275614676517679
"581","all",15,"SPRING",2014,40179.1270385155,0.0778606125728085,272142.40340512,0.100312931761314,1.70476693868294e-07,0.985821899282302
"582","all",15,"SPRING",2015,10942.3024924009,8.66866015388312e-08,118493.980786928,0.0395764308017612,3.54131755216774e-13,0.330478667276235
"583","all",15,"SPRING",2016,53092.6132221513,2.13395018546198e-12,563618.524161648,0.104979869286648,3.03260585779026e-18,0.963038452214036
"584","all",15,"SPRING",2017,16395.5585906939,2.90694063074031e-06,158198.650857461,0.0536563060999707,8.4820060235572e-12,0.547301290877623
"585","all",15,"SPRING",2018,60215.237325788,3.18408268249118e-07,437348.059361163,0.134732367416954,4.72407147430711e-13,1.3648575817191
"586","all",15,"SPRING",2019,37022.4323471829,1.09639591166801e-05,383010.585411714,0.103899708659325,1.60480438722883e-11,1.21227647376765
"587","all",15,"SPRING",2020,31523.9582497394,15.5914333835898,185267.872411518,0.105420324560503,5.52335476689616e-05,0.697803668234706
"588","all",15,"SPRING",2021,222031.384829081,0.00827119522376664,1467644.55340412,0.291892559717262,8.63965412734553e-09,1.86189778621346
"981","all",23,"FALL",1973,NA,0,0,NA,0,0
"982","all",23,"FALL",1974,NA,0,0,NA,0,0
"983","all",23,"FALL",1975,NA,0,0,NA,0,0
"984","all",23,"FALL",1976,NA,0,0,NA,0,0
"985","all",23,"FALL",1977,3902.79117912806,20.2174817665379,21245.3085511798,0.0676744265107916,0.000339280854280481,0.440090736556209
"986","all",23,"FALL",1978,4078.82875679718,1.16970064154526,17652.7887168189,0.0633046350245105,2.05258293620376e-05,0.294592810991383
"987","all",23,"FALL",1979,42221.8937562132,47.4941131196537,233600.831671406,0.529994383105755,0.000819676672778562,2.73975316527245
"988","all",23,"FALL",1980,9567.86242944822,43.8030969804665,50753.4880085557,0.138487487768445,0.000522135584328472,0.619027639754192
"989","all",23,"FALL",1981,0,0,0,0,0,0
"990","all",23,"FALL",1982,119513.892585371,2.03164690849306e-08,1047809.77357074,1.07233970412752,1.91865801028225e-13,8.91468383097004
"991","all",23,"FALL",1983,0,0,0,0,0,0
"992","all",23,"FALL",1984,53963.1721981058,56.9618103712422,569825.837300821,0.294447322788397,0.000357937392991698,2.98780929633629
"993","all",23,"FALL",1985,0,0,0,0,0,0
"994","all",23,"FALL",1986,63859.4222459268,0.00625920053532777,418250.716557548,0.260387614238391,2.38527483986781e-08,2.151474626292
"995","all",23,"FALL",1987,41390.173537811,19.761036572928,304117.25681333,0.376980195950453,0.000181476106564545,2.59226512903666
"996","all",23,"FALL",1988,37979.9802746375,854.739852579723,192774.812996245,0.544943644202202,0.011445467361646,2.70869508644759
"997","all",23,"FALL",1989,12054.2092473716,102.694139080122,54611.9882481211,0.179257250142071,0.00172679582797795,0.79826689158338
"998","all",23,"FALL",1990,20862.0076670379,22.0595899449005,127943.214770548,0.221294726317186,0.000270238019267956,1.27495696147996
"999","all",23,"FALL",1991,12335.401111389,118.489067519139,62432.5069444728,0.262828497193497,0.00235189383196097,1.33052252238775
"1000","all",23,"FALL",1992,20510.0362873095,81.4100224432313,122811.572404006,0.423457862509179,0.00182607095030798,2.45831853997081
"1001","all",23,"FALL",1993,8480.31435904874,3.09613140064862,44347.5713753778,0.337883924658992,0.000120061560397348,1.79504368320569
"1002","all",23,"FALL",1994,24283.3511690033,465.763953805534,141034.807959112,1.0101235735896,0.0169131820983862,6.50751252753953
"1003","all",23,"FALL",1995,13443.1841822515,0.0870243406333505,66883.0404779941,0.524087178901706,3.57406651089352e-06,3.0369049762054
"1004","all",23,"FALL",1996,7278.71386646547,32.0615375517632,35120.0581348878,0.205900622805758,0.000924730306823768,0.996946744363921
"1005","all",23,"FALL",1997,7870.62043022462,0.0209845298534168,66589.5836033945,0.25161352722114,5.82888973712426e-07,2.24808876008509
"1006","all",23,"FALL",1998,21385.9371295148,0.67880574703723,109804.179063202,0.512040506107312,1.44744151897978e-05,2.5813290541746
"1007","all",23,"FALL",1999,48758.1688183719,1.65015487277769e-06,311889.54685378,0.964807107836981,2.38846645628954e-11,6.49914132735066
"1008","all",23,"FALL",2000,35419.3616337114,22.4030512294747,281833.494437526,0.570210517548357,0.000406947345603615,4.03801824733031
"1009","all",23,"FALL",2001,13715.7009449978,11.1614709016094,77191.6292532876,0.279126941181902,0.00024694073539442,1.55227268211076
